,Gene.title,P.Value
36423,myocardial infarction associated transcript (non-protein coding),0.327
36424,DnaJ heat shock protein family (Hsp40) member C18,0.0407
36425,zinc finger protein 316,0.00337
36426,chaperonin containing TCP1 subunit 4,0.471
36427,transmembrane protein 116,0.707
36428,BTB domain and CNC homolog 2,0.000227
36429,WD repeat domain 72,0.92
36430,BCL2 family apoptosis regulator,0.0157
36431,solute carrier family 2 member 13,0.000641
36432,coronin 2A,0.00424
36433,"CUGBP, Elav-like family member 2",0.202
36434,staufen double-stranded RNA binding protein 2,0.213
36435,ELOVL fatty acid elongase 7,0.637
36436,leukemia NUP98 fusion partner 1,0.00926
36437,sushi domain containing 3,0.299
36438,cardiac mesoderm enhancer-associated non-coding RNA///microRNA 145,0.0351
36439,platelet activating factor receptor,0.033
36440,fibronectin type III domain containing 10,0.434
36441,mitochondrial ribosomal protein L41,0.304
36442,Cbl proto-oncogene like 1,0.215
36443,eva-1 homolog C,0.574
36444,copine 5,0.0907
36445,transmembrane protein 37,0.223
36446,integrin alpha FG-GAP repeat containing 1,0.0591
36447,proline rich transmembrane protein 2,0.655
36448,solute carrier family 30 member 4,0.355
36449,family with sequence similarity 3 member B,0.358
36450,zinc finger protein 503,0.0623
36451,rhophilin Rho GTPase binding protein 2,0.0463
36452,Rho guanine nucleotide exchange factor 26,0.313
36453,AF4/FMR2 family member 3,2.68e-05
36454,disco interacting protein 2 homolog A,0.168
36455,ETS variant 3,2.04e-05
36456,long intergenic non-protein coding RNA 1128,0.00928
36457,contactin 1,0.333
36458,F-box and leucine rich repeat protein 17,0.0954
36459,par-6 family cell polarity regulator gamma,0.868
36460,TATA-box binding protein associated factor 1,0.907
36461,NADH:ubiquinone oxidoreductase subunit A10,0.495
36462,zinc finger protein 213,0.547
36463,coiled-coil domain containing 84,0.0309
36464,contactin 1,0.114
36465,Scm-like with four mbt domains 2,0.831
36466,PHD finger protein 19,0.426
36467,PHD finger protein 19,0.539
36468,"adenosine deaminase, tRNA specific 2",0.0461
36469,golgi associated PDZ and coiled-coil motif containing,0.00896
36470,golgi associated PDZ and coiled-coil motif containing,0.00607
36471,capping protein regulator and myosin 1 linker 2,0.402
36472,WNK lysine deficient protein kinase 2,0.33
36473,capping protein regulator and myosin 1 linker 2,0.0802
36474,microtubule associated protein 1 light chain 3 alpha,0.424
36475,"nuclear transcription factor, X-box binding like 1",0.366
36476,zinc finger matrin-type 3,0.000234
36477,F-box protein 10,0.389
36478,RNA binding motif protein 39,8.43e-06
36479,Ral GEF with PH domain and SH3 binding motif 2,0.000118
36480,zinc finger protein 503,0.926
36481,melanocortin 2 receptor accessory protein 2,0.273
36482,,0.358
36483,coiled-coil domain containing 88C,0.0117
36484,"VPS53, GARP complex subunit",0.157
36485,KIAA1211,0.146
36486,KIAA1211,0.367
36487,Enah/Vasp-like,0.0233
36488,tetraspanin 2,0.512
36489,importin 5 pseudogene 1,0.859
36490,guanylate cyclase 1 soluble subunit alpha,0.353
36491,tetraspanin 2,0.298
36492,"ATPase family, AAA domain containing 3B",0.801
36493,"mucin 15, cell surface associated",0.15
36494,family with sequence similarity 126 member A,0.00148
36495,neuronal guanine nucleotide exchange factor,0.577
36496,"mucin 15, cell surface associated",0.195
36497,early B-cell factor 3,0.457
36498,early B-cell factor 3,0.0335
36499,,0.77
36500,"N(alpha)-acetyltransferase 25, NatB auxiliary subunit",0.591
36501,pleiotropic regulator 1,0.393
36502,pleckstrin homology domain containing A8,0.00108
36503,"pleckstrin homology, MyTH4 and FERM domain containing H3",0.0684
36504,nudE neurodevelopment protein 1,0.0309
36505,kringle containing transmembrane protein 1,0.151
36506,DDB1 and CUL4 associated factor 5,0.000116
36507,LDL receptor related protein 10,0.262
36508,ceruloplasmin (ferroxidase),0.0113
36509,POU class 2 homeobox 1,0.00697
36510,PDLIM1 interacting kinase 1 like,0.0128
36511,ubiquitin specific peptidase 31,0.00192
36512,CDK2 associated cullin domain 1,0.204
36513,CDK2 associated cullin domain 1,0.465
36514,CD47 molecule,0.891
36515,,0.0105
36516,Kruppel like factor 12,0.0145
36517,hyaluronan and proteoglycan link protein 3,0.103
36518,chromosome 8 open reading frame 58,0.101
36519,TNF receptor associated factor 6,0.829
36520,fibrinogen like 2,0.00356
36521,FYN binding protein,0.902
36522,POC5 centriolar protein,0.104
36523,"ring finger protein, transmembrane 1",0.369
36524,"RAB40C, member RAS oncogene family",0.421
36525,family with sequence similarity 200 member B,0.00255
36526,fibroblast growth factor 11,0.136
36527,chromosome 15 open reading frame 52,0.99
36528,bone morphogenetic protein receptor type 1A,0.028
36529,SYNJ2BP-COX16 readthrough///synaptojanin 2 binding protein,0.267
36530,mex-3 RNA binding family member C,0.0629
36531,plexin domain containing 2,0.0642
36532,metadherin,0.000301
36533,TATA-box binding protein associated factor 13,0.00837
36534,transcription elongation factor A like 3,0.055
36535,cyclin Y like 1,0.00135
36536,solute carrier family 29 member 4,0.2
36537,protocadherin 19,0.215
36538,EFR3 homolog B,0.412
36539,zinc finger protein 766,0.0134
36540,circadian associated repressor of transcription,0.027
36541,INO80 complex subunit E,0.000245
36542,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2,0.326
36543,SREK1 interacting protein 1,0.000252
36544,protocadherin 17,0.419
36545,chromodomain Y-like 2,0.0323
36546,bolA family member 3,0.742
36547,chromosome 11 open reading frame 84,0.186
36548,factor interacting with PAPOLA and CPSF1,0.0162
36549,zinc finger protein 689,0.00431
36550,IKBKB interacting protein,0.234
36551,major facilitator superfamily domain containing 3,0.0146
36552,integrin subunit alpha 9,0.428
36553,TRAM2 antisense RNA 1 (head to head),0.136
36554,cyclin I,2.21e-05
36555,transmembrane protein 119,0.162
36556,chaperonin containing TCP1 subunit 6 pseudogene 1///chaperonin containing TCP1 subunit 6 pseudogene 3,0.107
36557,"LLGL1, scribble cell polarity complex component///FLII, actin remodeling protein",0.0826
36558,ankyrin repeat and sterile alpha motif domain containing 3,0.209
36559,"Smith-Magenis syndrome chromosome region, candidate 8",0.0086
36560,"Smith-Magenis syndrome chromosome region, candidate 8",0.126
36561,alkaline ceramidase 2,0.384
36562,tetraspanin 18,0.124
36563,latent transforming growth factor beta binding protein 3,0.377
36564,YOD1 deubiquitinase,0.0667
36565,adenylosuccinate synthase,0.385
36566,sorting nexin 25,0.0198
36567,syntrophin beta 2,0.00063
36568,canopy FGF signaling regulator 4,0.418
36569,integrin subunit alpha 2,0.361
36570,proline synthetase cotranscribed homolog (bacterial),0.334
36571,PET117 homolog,0.0626
36572,LIM and cysteine rich domains 1,0.167
36573,transmembrane protein 178B,0.731
36574,kelch like family member 36,0.000133
36575,filamin-interacting protein FAM101A///family with sequence similarity 101 member A,0.19
36576,"GATS, stromal antigen 3 opposite strand",0.156
36577,BRCA2 and CDKN1A interacting protein,0.0614
36578,cytochrome c oxidase subunit 4I1,0.805
36579,coenzyme Q8B,0.958
36580,InaF motif containing 1,0.455
36581,matrix remodeling associated 7,0.0514
36582,multiple EGF like domains 8,0.412
36583,calmodulin binding transcription activator 1,0.815
36584,zinc finger and BTB domain containing 46,0.581
36585,tektin 4 pseudogene///tektin 4 pseudogene 2///MAFF interacting protein (pseudogene),0.398
36586,zinc finger protein 740,0.000809
36587,PXN antisense RNA 1,0.342
36588,defective in cullin neddylation 1 domain containing 3,0.00166
36589,ubiquitin specific peptidase 54,0.56
36590,death inducer-obliterator 1,0.000201
36591,deltex E3 ubiquitin ligase 1,0.0233
36592,ankyrin repeat domain 37,0.597
36593,,0.682
36594,repulsive guidance molecule family member b,0.401
36595,repulsive guidance molecule family member b,0.4
36596,BEN domain containing 7,0.479
36597,myeloma overexpressed,0.00128
36598,,0.0321
36599,IKAROS family zinc finger 1,7.78e-08
36600,TNF receptor superfamily member 10d,0.0111
36601,IKAROS family zinc finger 1,0.00012
36602,hes family bHLH transcription factor 4,0.657
36603,"prolyl-tRNA synthetase 2, mitochondrial (putative)",0.272
36604,"helicase, lymphoid-specific",0.428
36605,"helicase, lymphoid-specific",0.698
36606,von Willebrand factor A domain-containing protein 3A///chromosome 16 open reading frame 52///von Willebrand factor A domain containing 3A,0.548
36607,SWIM-type zinc finger 7 associated protein 1,0.916
36608,transmembrane channel like 8,0.0304
36609,phosphoprotein membrane anchor with glycosphingolipid microdomains 1,0.000422
36610,RNA binding motif protein 26,0.534
36611,,0.131
36612,TGF-beta activated kinase 1/MAP3K7 binding protein 3,0.0619
36613,zinc finger and BTB domain containing 46,0.706
36614,organic solute carrier partner 1,0.593
36615,,0.023
36616,heparan sulfate-glucosamine 3-sulfotransferase 3B1,0.000793
36617,SLC2A4 regulator,0.937
36618,ER membrane protein complex subunit 8,0.0175
36619,,0.382
36620,"ATCAY, caytaxin",0.324
36621,Rab interacting lysosomal protein,0.299
36622,solute carrier organic anion transporter family member 3A1,0.205
36623,,0.00195
36624,SERPINE1 mRNA binding protein 1,0.00406
36625,family with sequence similarity 171 member B,0.618
36626,BAI1 associated protein 2 like 1,0.417
36627,BAI1 associated protein 2 like 1,0.81
36628,ataxin 1 like,0.47
36629,"glutamyl-tRNA synthetase 2, mitochondrial",0.139
36630,ankyrin repeat domain 13C,0.892
36631,GLI family zinc finger 3,0.187
36632,insulin like growth factor 2 mRNA binding protein 1,0.321
36633,methyltransferase like 26,0.000121
36634,membrane bound O-acyltransferase domain containing 1,0.00107
36635,methyltransferase like 26,0.896
36636,cerebral endothelial cell adhesion molecule,0.0573
36637,cytochrome b5 type B,0.0744
36638,uncharacterized LOC727820,0.989
36639,uncharacterized LOC727820,0.264
36640,phospholipid phosphatase 6,0.711
36641,transmembrane protein 200B,0.00681
36642,"NSE4 homolog A, SMC5-SMC6 complex component",0.0528
36643,tumor suppressor candidate 1,0.0568
36644,interferon regulatory factor 2 binding protein 2,0.0319
36645,maternally expressed 3 (non-protein coding),0.143
36646,LRR binding FLII interacting protein 1,0.908
36647,nischarin,0.101
36648,anoctamin 9,0.143
36649,neural cell adhesion molecule 1,0.182
36650,tubulin folding cofactor E like,0.923
36651,"protein tyrosine phosphatase, receptor type J",1.72e-08
36652,tropomyosin 2 (beta),0.808
36653,midnolin,0.17
36654,vestigial like family member 3,0.918
36655,nuclear factor I X,0.566
36656,interleukin 17D,0.601
36657,"UTP23, small subunit processome component",0.00641
36658,phosphatidylinositol glycan anchor biosynthesis class X,0.0874
36659,early growth response 1,0.022
36660,microRNA 4683///frizzled class receptor 8,0.00221
36661,GABPB1 antisense RNA 1,5.4e-06
36662,transmembrane anterior posterior transformation 1,0.00111
36663,sorting nexin 25,0.00111
36664,protein phosphatase 1 regulatory subunit 3E,0.016
36665,family with sequence similarity 43 member A,0.000528
36666,Wilms tumor 1 interacting protein,0.107
36667,protein phosphatase 1 regulatory subunit 3E,0.0594
36668,ubiquitin like domain containing CTD phosphatase 1,0.135
36669,rhomboid domain containing 1,0.205
36670,diacylglycerol kinase eta,0.000181
36671,zinc finger CCHC-type and RNA binding motif containing 1,0.00312
36672,mitochondrial amidoxime reducing component 2,0.0199
36673,Myb/SANT DNA binding domain containing 4 with coiled-coils,0.0978
36674,placenta specific 9,0.00224
36675,TNF alpha induced protein 8 like 1,0.18
36676,ybeY metallopeptidase (putative),0.609
36677,striatin,0.0139
36678,leucine rich repeat containing 28,0.605
36679,URB1 antisense RNA 1 (head to head),0.405
36680,RALBP1 associated Eps domain containing 2,0.47
36681,SOS Ras/Rac guanine nucleotide exchange factor 1,0.0795
36682,Rho guanine nucleotide exchange factor 25,0.23
36683,GA binding protein transcription factor alpha subunit,0.686
36684,calcium release activated channel regulator 2B,0.188
36685,zinc finger CCCH-type containing 10,0.0284
36686,Alu-mediated CDKN1A/p21 transcriptional regulator (non-protein coding),0.835
36687,,0.136
36688,upstream transcription factor family member 3,0.17
36689,Williams-Beuren syndrome chromosome region 17,0.827
36690,upstream transcription factor family member 3,0.102
36691,OTU deubiquitinase 7B,0.02
36692,negative regulator of antiviral response (non-protein coding),0.919
36693,alpha kinase 1,0.0405
36694,ankyrin repeat and sterile alpha motif domain containing 1B,0.177
36695,ankyrin repeat and sterile alpha motif domain containing 1B,0.172
36696,ankyrin repeat and sterile alpha motif domain containing 1B,0.206
36697,"COX18, cytochrome c oxidase assembly factor",0.413
36698,leucine rich adaptor protein 1 like,0.609
36699,"armadillo repeat containing, X-linked 4",0.847
36700,zinc finger protein 689,0.00888
36701,DHRS4 antisense RNA 1,0.00368
36702,Ski2 like RNA helicase 2,0.037
36703,arginine and glutamate rich 1,0.749
36704,EPH receptor A4,0.889
36705,endoplasmic reticulum protein 27,0.617
36706,mitochondrial calcium uniporter regulator 1,0.531
36707,long intergenic non-protein coding RNA 673///long intergenic non-protein coding RNA 511,0.0139
36708,unc-13 homolog A,0.804
36709,TAO kinase 1,0.0162
36710,chromosome 6 open reading frame 136,0.000199
36711,chromosome 6 open reading frame 136,0.000127
36712,DET1 and DDB1 associated 1,0.0422
36713,CD274 molecule,0.142
36714,,0.838
36715,family with sequence similarity 208 member A,0.398
36716,stonin 2,0.0908
36717,endoplasmic reticulum aminopeptidase 2,0.583
36718,angiotensin I converting enzyme,0.0649
36719,acyl-CoA synthetase family member 3,0.0357
36720,MAU2 sister chromatid cohesion factor,0.0847
36721,family with sequence similarity 200 member B,0.0273
36722,retinol dehydrogenase 10 (all-trans),0.651
36723,carnitine palmitoyltransferase 1C,0.39
36724,,0.0181
36725,zinc finger protein 48,0.00313
36726,HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1,0.158
36727,DET1 and DDB1 associated 1,0.407
36728,,0.788
36729,PAX8 antisense RNA 1,0.281
36730,forkhead box Q1,0.0373
36731,lysophosphatidylglycerol acyltransferase 1,6.24e-05
36732,zinc finger MYND-type containing 19,0.0089
36733,SET binding protein 1,0.403
36734,,0.0894
36735,sushi domain containing 2,0.994
36736,CNKSR family member 3,0.723
36737,aarF domain containing kinase 1,0.901
36738,unc-93 homolog B1 (C. elegans),0.369
36739,SLIT-ROBO Rho GTPase activating protein 1,0.844
36740,integrator complex subunit 6 like,0.0935
36741,5'-nucleotidase ecto,0.00256
36742,serpin family E member 2,0.23
36743,microRNA 503///microRNA 424///MIR503 host gene,0.192
36744,SMAD specific E3 ubiquitin protein ligase 2,0.0107
36745,WD repeat and FYVE domain containing 2,0.92
36746,ELOVL fatty acid elongase 6,0.982
36747,occludin,0.109
36748,KIAA1143,0.148
36749,nuclear receptor subfamily 6 group A member 1,0.0585
36750,nuclear receptor subfamily 6 group A member 1,0.431
36751,SRY-box 6,0.641
36752,SRY-box 6,0.298
36753,frizzled class receptor 3,0.0279
36754,F-box and leucine rich repeat protein 18,0.00806
36755,,0.00238
36756,KIAA1147,0.163
36757,nectin cell adhesion molecule 3,0.896
36758,mediator complex subunit 28,0.0253
36759,mediator complex subunit 28,0.139
36760,solute carrier family 16 member 9,0.688
36761,zinc finger protein 592,0.00476
36762,,0.00498
36763,,0.703
36764,metastasis associated lung adenocarcinoma transcript 1 (non-protein coding),5.3e-10
36765,sterile alpha motif domain containing 4B,0.000167
36766,mex-3 RNA binding family member A,0.25
36767,LRR binding FLII interacting protein 1,0.00785
36768,"inositol 1,4,5-trisphosphate receptor interacting protein like 2",0.222
